gpa_band,mcat_band,acceptees,applicants,acceptance_rate,acceptance_rate_band,source_name,source_url,source_publication_date,notes
Less than 2.00,Less than 486,0,66,0,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Less than 2.00,486-489,0,12,0,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Less than 2.00,490-493,0,11,0,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Less than 2.00,494-497,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Less than 2.00,498-501,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Less than 2.00,502-505,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Less than 2.00,506-509,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Less than 2.00,510-513,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Less than 2.00,514-517,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Less than 2.00,Greater than 517,,,,,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
