school_id,school_name,degree_type,candidate_count,official_candidate_count,fetched_candidate_count,accepted_extraction_count,current_canonical_has_mcat,current_canonical_has_gpa,coverage_status,next_action
md_university_of_houston_tilman_j_fertitta_family_college_of_medicine_houston_texas,University of Houston Tilman J. Fertitta Family College of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_texas_tech_university_health_sciences_center_school_of_medicine_lubbock_texas,Texas Tech University Health Sciences Center School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_the_university_of_texas_at_san_antonio_joe_r_and_teresa_lozano_long_school_of_me,The University of Texas at San Antonio Joe R. and Teresa Lozano Long School of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_the_university_of_texas_at_tyler_school_of_medicine_tyler_texas,The University of Texas at Tyler School of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_spencer_fox_eccles_school_of_medicine_at_the_university_of_utah_salt_lake_city_u,Spencer Fox Eccles School of Medicine at the University of Utah,MD,0,0,0,0,no,no,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_robert_larner_m_d_college_of_medicine_at_the_university_of_vermont_burlington_ve,"Robert Larner, M.D. College of Medicine at the University of Vermont",MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_university_of_virginia_school_of_medicine_charlottesville_virginia,University of Virginia School of Medicine,MD,7,6,7,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_eastern_virginia_medical_school_at_old_dominion_university_norfolk_virginia,Eastern Virginia Medical School at Old Dominion University,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_virginia_commonwealth_university_school_of_medicine_richmond_virginia,Virginia Commonwealth University School of Medicine,MD,3,2,3,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_virginia_tech_carilion_school_of_medicine_roanoke_virginia,Virginia Tech Carilion School of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_washington_school_of_medicine_seattle_washington,University of Washington School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_washington_state_university_elson_s_floyd_college_of_medicine_spokane_washington,Washington State University Elson S. Floyd College of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_marshall_university_joan_c_edwards_school_of_medicine_huntington_west_virginia,Marshall University Joan C. Edwards School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_west_virginia_university_school_of_medicine_morgantown_west_virginia,West Virginia University School of Medicine,MD,2,1,2,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_university_of_wisconsin_school_of_medicine_and_public_health_madison_wisconsin,University of Wisconsin School of Medicine and Public Health,MD,6,6,6,2,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_medical_college_of_wisconsin_milwaukee_wisconsin,Medical College of Wisconsin,MD,3,1,3,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
